date,reliance_open,reliance_high,reliance_low,reliance_close,reliance_volume,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,reliance_return,nifty_return
2021-02-08,876.5052135771294,892.8060891318694,874.6915398289318,884.8483887,21183400,15064.2998,15159.90039,15041.0498,15115.7998,671200,0.014398975850748785,0.012834802418882019
2021-02-09,889.6095123241837,902.1468540671392,885.2338830875444,886.9795532226562,19604141,15164.15039,15257.09961,15064.2998,15109.2998,713300,0.0024085081126579144,-0.0004300136338137861
2021-02-10,885.8913333557456,899.9476653520371,873.8980223594517,895.2092895507812,21234156,15119.0498,15168.25,14977.2002,15106.5,624800,0.009278383360951103,-0.00018530309392639221
2021-02-11,897.7938959649373,935.9728593397924,894.2798277886045,932.1186523,42539278,15073.25,15188.5,15065.40039,15173.2998,500100,0.04122987013208945,0.004421924337205896
2021-02-12,932.0279220969352,942.2301071014969,913.8453084946966,925.7252197265624,30497029,15186.2002,15243.5,15081.0,15163.2998,571800,-0.006859032975750301,-0.0006590524231254724
2021-02-15,928.6499377082844,934.6578975884944,918.1983447144302,921.6444091796876,15791099,15270.2998,15340.15039,15243.40039,15314.7002,456000,-0.004408230930642798,0.009984660462889483
2021-02-16,924.8863449010564,942.864886407388,922.7325323956647,933.8416137695312,21421660,15371.4502,15431.75,15242.2002,15313.4502,648500,0.01323417629224255,-8.162092523367193e-05
2021-02-17,934.0683329596526,950.3692089797069,929.8061035808392,944.6106567382812,23742994,15279.90039,15314.2998,15170.75,15208.90039,504800,0.011531980166614941,-0.0068273190322581945
2021-02-18,945.4042372455168,956.014505762448,933.6603325517268,937.5598754882812,18646877,15238.7002,15250.75,15078.0498,15118.9502,770600,-0.007464219464076494,-0.005914312520525433
2021-02-19,932.7081992,954.4502194028356,931.0304727699604,943.2731323242188,23403483,15074.7998,15144.0498,14898.2002,14981.75,712200,0.006093751434234518,-0.009074717370257557
2021-02-22,943.1370313830364,947.6260001116776,904.5727145749872,910.5352783203124,23804335,14999.0498,15010.09961,14635.0498,14675.7002,609900,-0.034706653759172035,-0.020428174278705802
2021-02-23,928.627233675732,930.8490501461664,913.0291825324456,917.4954833984376,25644108,14782.25,14854.5,14651.84961,14707.7998,744100,0.007644080623613991,0.0021872619065903542
2021-02-24,920.4654582700598,936.4489240552962,918.7197282010852,934.5218505859376,10807663,14729.15039,15008.7998,14504.5,14982.0,403800,0.018557439786443197,0.018643182782512424
2021-02-25,941.3232777095964,975.7840397521636,939.9629623775808,972.3153076171876,34855693,15079.84961,15176.5,15065.34961,15097.34961,803900,0.040441491022980225,0.007699213055666787
2021-02-26,959.9139702500598,967.576928,938.9200542247918,945.7669067382812,37481215,14888.59961,14919.4502,14467.75,14529.15039,1103600,-0.027304312367525507,-0.03763569332882388
2021-03-01,956.8305872083304,957.6468123803252,935.2019094636116,952.9764404296876,17680764,14702.5,14806.7998,14638.5498,14761.5498,507300,0.007622949841066262,0.015995388839801228
2021-03-02,962.1811437745008,965.8085514456496,947.263250572338,954.9262084960938,17150760,14865.2998,14959.09961,14760.7998,14919.09961,621700,0.0020459771970091634,0.010672985705064475
2021-03-03,961.7503937,1006.572077071357,955.4703590572256,998.5009766,31924461,15064.40039,15273.15039,14995.7998,15245.59961,544200,0.04563155531413443,0.0218846987107153
2021-03-04,988.4801263,992.9917629,978.3686128,986.5983887,21435754,15026.75,15202.34961,14980.2002,15080.75,534900,-0.01192045694389754,-0.010812930564690237
2021-03-05,977.5977682721734,1002.9672532884404,976.2601209,987.890625,25511666,14977.9502,15092.34961,14862.09961,14938.09961,640700,0.001309789590983046,-0.009459104487508974
2021-03-08,983.2657240329896,1012.0132716669716,983.0390448,993.5133056640624,19506841,15002.4502,15111.15039,14919.90039,14956.2002,0,0.00569160241202038,0.0012117063396661631
2021-03-09,997.5486965,1003.8060628939456,973.3355160603488,993.4904785,15154484,15049.90039,15126.84961,14925.4502,15098.40039,675300,-2.2976203672642193e-05,0.009507775243607686
2021-03-10,1000.7228083320848,1004.3956118787132,984.0591848216624,989.3643188476562,11519358,15202.15039,15218.4502,15100.84961,15174.7998,404600,-0.004153194964257256,0.005060099614963232
2021-03-12,995.2815530770632,1000.45067927351,963.0426081,969.2546387,16864952,15321.15039,15336.2998,14953.59961,15030.9502,493200,-0.02032585950853638,-0.009479505620891393
2021-03-15,970.3655452396614,974.3783674,943.3636702802957,956.2411499023438,16698099,15048.40039,15048.40039,14745.84961,14929.5,467500,-0.013426284773947916,-0.006749420272844753
2021-03-16,958.5536241227466,963.9948252863044,950.1651731263198,952.4776611328124,13873801,14996.09961,15051.59961,14890.65039,14910.4502,100,-0.003935710955249805,-0.0012759837904819937
2021-03-17,951.3214250817776,953.5659093364974,922.7778916021028,931.9598999023438,19210236,14946.5498,14956.5498,14696.0498,14721.2998,100,-0.021541461881705692,-0.012685760487634257
2021-03-18,939.917659532268,945.3135252330828,907.3159659802868,910.9887695,20647480,14855.5,14875.2002,14478.59961,14557.84961,542200,-0.02250218105364965,-0.011102972714406745
2021-03-19,902.7816639429236,950.3239190123004,899.0635245309819,944.0438842773438,41787429,14471.15039,14788.25,14350.09961,14744.0,919200,0.036284876261961196,0.01278694278254755
2021-03-22,939.0560976937982,940.416353,921.9163888767762,935.1565551757812,18572478,14736.2998,14763.90039,14597.84961,14736.40039,459000,-0.009414105900771408,-0.0005154374660878425
2021-03-23,934.9526119187764,956.603958736694,932.2547090305418,946.5377807617188,17421165,14768.5498,14878.59961,14707.0,14814.75,474200,0.012170395986582427,0.005316740040068879
2021-03-24,943.0236364808284,943.0236364808284,925.1811610696236,928.3098145,16822814,14712.4502,14752.34961,14535.0,14549.40039,456400,-0.019257515793030366,-0.01791117703639944
2021-03-25,931.3477881428614,931.3477881428614,900.0610147041692,902.9856567382812,22001648,14570.90039,14575.59961,14264.40039,14324.90039,606800,-0.02727985567550928,-0.015430189147471851
2021-03-26,912.3036131657976,913.0744424920392,894.9372254340741,904.4365844726562,20180202,14506.2998,14572.90039,14414.25,14507.2998,481000,0.0016068114964482572,0.012733031646581683
2021-03-30,910.4899757979094,929.0353374,903.0310289019576,920.1480712890624,20441701,14628.5,14876.2998,14617.59961,14845.09961,594500,0.017371573735672108,0.023284816241269102
2021-03-31,915.0242469485528,929.4886608125948,906.4089968537622,908.2680664,16250796,14811.84961,14813.75,14670.25,14690.7002,463900,-0.012910970809751676,-0.010400698820235088
