Date,Open,High,Low,Close,Volume
01-01-2021,13996.09961,14049.84961,13991.34961,14018.5,358100
04-01-2021,14104.34961,14147.9502,13953.75,14132.90039,495000
05-01-2021,14075.15039,14215.59961,14048.15039,14199.5,492500
06-01-2021,14240.9502,14244.15039,14039.90039,14146.25,632300
07-01-2021,14253.75,14256.25,14123.09961,14137.34961,559200
08-01-2021,14258.40039,14367.2998,14221.65039,14347.25,613500
11-01-2021,14474.0498,14498.2002,14383.09961,14484.75,672900
12-01-2021,14473.7998,14590.65039,14432.84961,14563.4502,929600
13-01-2021,14639.7998,14653.34961,14435.7002,14564.84961,874000
14-01-2021,14550.0498,14617.7998,14471.5,14595.59961,620200
15-01-2021,14594.34961,14617.4502,14357.84961,14433.7002,789600
18-01-2021,14453.2998,14459.15039,14222.7998,14281.2998,762000
19-01-2021,14371.65039,14546.0498,14350.84961,14521.15039,546100
20-01-2021,14538.2998,14666.4502,14517.5498,14644.7002,623100
21-01-2021,14730.9502,14753.5498,14517.25,14590.34961,704600
22-01-2021,14583.40039,14619.90039,14357.75,14371.90039,776800
25-01-2021,14477.7998,14491.09961,14218.59961,14238.90039,618600
27-01-2021,14237.9502,14237.9502,13929.2998,13967.5,660700
28-01-2021,13810.40039,13898.25,13713.25,13817.5498,637900
29-01-2021,13946.59961,13966.84961,13596.75,13634.59961,753200
01-02-2021,13758.59961,14336.34961,13661.75,14281.2002,870500
02-02-2021,14481.09961,14731.7002,14469.15039,14647.84961,915000
03-02-2021,14754.90039,14868.84961,14574.15039,14789.9502,869500
04-02-2021,14789.0498,14913.7002,14714.75,14895.65039,884700
05-02-2021,14952.59961,15014.65039,14864.75,14924.25,935600
08-02-2021,15064.2998,15159.90039,15041.0498,15115.7998,671200
09-02-2021,15164.15039,15257.09961,15064.2998,15109.2998,713300
10-02-2021,15119.0498,15168.25,14977.2002,15106.5,624800
11-02-2021,15073.25,15188.5,15065.40039,15173.2998,500100
12-02-2021,15186.2002,15243.5,15081,15163.2998,571800
15-02-2021,15270.2998,15340.15039,15243.40039,15314.7002,456000
16-02-2021,15371.4502,15431.75,15242.2002,15313.4502,648500
17-02-2021,15279.90039,15314.2998,15170.75,15208.90039,504800
18-02-2021,15238.7002,15250.75,15078.0498,15118.9502,770600
19-02-2021,15074.7998,15144.0498,14898.2002,14981.75,712200
22-02-2021,14999.0498,15010.09961,14635.0498,14675.7002,609900
23-02-2021,14782.25,14854.5,14651.84961,14707.7998,744100
24-02-2021,14729.15039,15008.7998,14504.5,14982,403800
25-02-2021,15079.84961,15176.5,15065.34961,15097.34961,803900
26-02-2021,14888.59961,14919.4502,14467.75,14529.15039,1103600
01-03-2021,14702.5,14806.7998,14638.5498,14761.5498,507300
02-03-2021,14865.2998,14959.09961,14760.7998,14919.09961,621700
03-03-2021,15064.40039,15273.15039,14995.7998,15245.59961,544200
04-03-2021,15026.75,15202.34961,14980.2002,15080.75,534900
05-03-2021,14977.9502,15092.34961,14862.09961,14938.09961,640700
08-03-2021,15002.4502,15111.15039,14919.90039,14956.2002,0
09-03-2021,15049.90039,15126.84961,14925.4502,15098.40039,675300
10-03-2021,15202.15039,15218.4502,15100.84961,15174.7998,404600
12-03-2021,15321.15039,15336.2998,14953.59961,15030.9502,493200
15-03-2021,15048.40039,15048.40039,14745.84961,14929.5,467500
16-03-2021,14996.09961,15051.59961,14890.65039,14910.4502,100
17-03-2021,14946.5498,14956.5498,14696.0498,14721.2998,100
18-03-2021,14855.5,14875.2002,14478.59961,14557.84961,542200
19-03-2021,14471.15039,14788.25,14350.09961,14744,919200
22-03-2021,14736.2998,14763.90039,14597.84961,14736.40039,459000
23-03-2021,14768.5498,14878.59961,14707,14814.75,474200
24-03-2021,14712.4502,14752.34961,14535,14549.40039,456400
25-03-2021,14570.90039,14575.59961,14264.40039,14324.90039,606800
26-03-2021,14506.2998,14572.90039,14414.25,14507.2998,481000
30-03-2021,14628.5,14876.2998,14617.59961,14845.09961,594500
31-03-2021,14811.84961,14813.75,14670.25,14690.7002,463900
01-04-2021,14798.40039,14883.2002,14692.4502,14867.34961,445000
05-04-2021,14837.7002,14849.84961,14459.5,14637.7998,509700
06-04-2021,14737,14779.09961,14573.90039,14683.5,475300
07-04-2021,14716.4502,14879.7998,14649.84961,14819.0498,0
08-04-2021,14875.65039,14984.15039,14821.09961,14873.7998,514800
09-04-2021,14882.65039,14918.4502,14785.65039,14834.84961,504100
12-04-2021,14644.65039,14652.5,14248.7002,14310.7998,650200
13-04-2021,14364.90039,14528.90039,14274.90039,14504.7998,605100
15-04-2021,14522.40039,14597.5498,14353.2002,14581.4502,568000
16-04-2021,14599.59961,14697.7002,14559,14617.84961,577200
19-04-2021,14306.59961,14382.2998,14191.40039,14359.4502,512300
20-04-2021,14526.7002,14526.9502,14207.2998,14296.40039,467400
22-04-2021,14219.15039,14424.75,14151.40039,14406.15039,524600
23-04-2021,14326.34961,14461.15039,14273.2998,14341.34961,498100
26-04-2021,14449.4502,14557.5,14421.2998,14485,452700
27-04-2021,14493.7998,14667.5498,14484.84961,14653.0498,451800
28-04-2021,14710.5,14890.25,14694.9502,14864.5498,457000
29-04-2021,14979,15044.34961,14814.4502,14894.90039,517500
30-04-2021,14747.34961,14855.4502,14601.7002,14631.09961,613900
03-05-2021,14481.0498,14673.84961,14416.25,14634.15039,448900
04-05-2021,14687.25,14723.40039,14461.5,14496.5,503400
