Date,Open,High,Low,Close,Volume
01-01-2021,901.4213204,905.5022064134912,898.7007496438623,901.1946411132812,10015175
04-01-2021,904.6406964491767,906.3636985650919,892.3527025549105,902.713623,24513534
05-01-2021,892.8061305,899.4262438413816,886.9115106039434,891.4912109,24123091
06-01-2021,891.4004573776713,891.4457932255564,863.8545521,867.9807739257812,46401468
07-01-2021,870.8146957594764,881.9237776804218,863.8545636,866.5751342773438,32325918
08-01-2021,869.6812412622631,878.9312548485226,867.0060060510358,876.8001098632812,27540187
11-01-2021,879.1125050229124,879.1125050229124,858.1186482532938,860.2724609,33307825
12-01-2021,862.87971,888.7252828199374,861.4740587259083,887.3876953,41161546
13-01-2021,890.3349094942321,895.5040358477936,869.8852032617441,879.1124877929688,26619458
14-01-2021,881.9238432057263,891.8540138996398,879.2259402439199,888.9973754882812,21553242
15-01-2021,888.9973558240713,894.9826476255291,870.6107298685408,878.5004272460938,20593268
18-01-2021,883.7828981720585,905.5022489944743,872.1070575050039,899.5849609,35100458
19-01-2021,904.4366011613523,920.9188203,904.4366011613523,914.2987670898438,32006615
20-01-2021,916.5659251576317,933.1614839760485,907.4972564349495,931.6651611328125,30924537
21-01-2021,944.0438358240183,961.2742166156673,940.8698467,951.9335327148438,39087742
22-01-2021,957.1933717044934,959.165841,922.8006124178714,929.3527221679688,30532660
25-01-2021,922.7099125187834,922.7099125187834,876.0291603627637,880.1100463867188,54207104
27-01-2021,872.8551706594984,872.8551706594984,856.0782081201552,859.2521973,42370131
28-01-2021,852.5188051471522,872.0844035148573,847.9164965706553,850.8864746,34067814
29-01-2021,858.9347876285253,867.4593064405973,829.7791594362084,835.1976928710938,43712383
01-02-2021,843.1100367737496,863.7864814872391,837.9409106033642,859.3882446289062,34180952
02-02-2021,867.9807655747403,879.6566053024357,841.0922903,873.2178955078125,41470034
03-02-2021,874.3515418529886,885.0978176672972,861.5193971120666,875.4171142578125,30301696
04-02-2021,872.4016522189917,879.6565870210757,863.7864621175551,872.5377197265625,25626981
05-02-2021,875.1449682096818,881.7650813571979,870.5879959278572,872.2883301,20248046
08-02-2021,876.5052135771294,892.8060891318694,874.6915398289318,884.8483887,21183400
09-02-2021,889.6095123241837,902.1468540671391,885.2338830875444,886.9795532226562,19604141
10-02-2021,885.8913333557456,899.9476653520371,873.8980223594517,895.2092895507812,21234156
11-02-2021,897.7938959649373,935.9728593397923,894.2798277886045,932.1186523,42539278
12-02-2021,932.0279220969353,942.2301071014969,913.8453084946966,925.7252197265625,30497029
15-02-2021,928.6499377082844,934.6578975884943,918.1983447144302,921.6444091796875,15791099
16-02-2021,924.8863449010564,942.8648864073879,922.7325323956649,933.8416137695312,21421660
17-02-2021,934.0683329596526,950.3692089797069,929.8061035808391,944.6106567382812,23742994
18-02-2021,945.4042372455169,956.0145057624479,933.6603325517267,937.5598754882812,18646877
19-02-2021,932.7081992,954.4502194028357,931.0304727699604,943.2731323242188,23403483
22-02-2021,943.1370313830363,947.6260001116775,904.5727145749872,910.5352783203125,23804335
23-02-2021,928.6272336757321,930.8490501461664,913.0291825324456,917.4954833984375,25644108
24-02-2021,920.4654582700598,936.4489240552962,918.7197282010852,934.5218505859375,10807663
